title,genre,platform
NHL 2002,sports traditional ice hockey sim,PlayStation 2
Guitar Hero II,action miscellaneous rhythm music music,Xbox 360
Prince of Persia: The Sands of Time,action adventure fantasy,PlayStation 2
Uncharted 3: Drake's Deception,action adventure modern modern linear,PlayStation 3
Rock Band,action miscellaneous rhythm music music,Xbox 360
Journey,action platformer 3d,PlayStation 4
Bloodborne,fantasy roleplaying action adventure general action rpg,PlayStation 4
Eternal Darkness: Sanity's Requiem,action adventure horror,GameCube
Warcraft III: Reign of Chaos,strategy realtime fantasy general fantasy,PC
SSX 3,sports alternative snowboarding,GameCube
The Sims,simulation miscellaneous virtual life virtual virtual life,PC
Banjo-Kazooie,action platformer 3d,Nintendo 64
Sid Meier's Gettysburg!,strategy realtime wargame realtime general,PC
Rock Band 2,action miscellaneous rhythm music music,Wii
Forza Motorsport,driving racing gt  street,Xbox
Celeste,action platformer 2d,Switch
Madden NFL 2004,sports traditional football sim,Xbox
Super Street Fighter IV,action fighting fighting 3d 2d 3d,PlayStation 3
World Soccer Winning Eleven 7 International,sports traditional team soccer sim sim,PC
Advance Wars,strategy turnbased modern,GameBoyAdvance
Vagrant Story,roleplaying action rpg,PlayStation
What Remains of Edith Finch,adventure 3d firstperson,XboxOne
Team Fortress 2,action shooter shooter firstperson modern tactical modern,PC
System Shock 2,action adventure scifi scifi survival,PC
Tom Clancy's Splinter Cell: Chaos Theory,action adventure modern general modern,PC
Final Fantasy XII,roleplaying consolestyle rpg,PlayStation 2
Undertale,roleplaying japanesestyle,PlayStation 4
Madden NFL 2003,sports traditional football sim,GameCube
The Witcher 3: Wild Hunt,action rpg roleplaying action rpg,PlayStation 4
Super Mario World: Super Mario Advance 2,action platformer 2d,GameBoyAdvance
ESPN NFL 2K5,sports traditional football sim,Xbox
Super Smash Bros. Melee,action fighting 3d,GameCube
Madden NFL 2003,sports traditional football sim,Xbox
Rome: Total War,strategy realtime historic general historic,PC
Forza Motorsport 3,driving racing simulation gt  street gt  street automobile,Xbox 360
Okami HD,action adventure general,PC
Undertale,roleplaying general japanesestyle,PC
Batman: Arkham Asylum,action adventure fantasy general fantasy,Xbox 360
Super Mario Sunshine,action platformer 3d,GameCube
SSX 3,sports alternative snowboarding,Xbox
SoulCalibur II,action fighting 3d,Xbox
Tony Hawk's Pro Skater,sports alternative skateboarding,PlayStation
Thief: The Dark Project,action adventure fantasy general fantasy,PC
Fire Emblem: Awakening,strategy turnbased fantasy fantasy tactics,3DS
Age of Empires II: The Age of Kings,strategy realtime historic historic command,PC
Final Fantasy X,roleplaying consolestyle rpg,PlayStation 2
Prince of Persia: The Sands of Time,action adventure fantasy,GameCube
The Walking Dead: A Telltale Games Series,miscellaneous adventure compilation compilation pointandclick,Xbox 360
Unreal Tournament (1999),action shooter shooter firstperson scifi scifi arcade,PC
Sid Meier's Alpha Centauri,strategy turnbased scifi scifi 4x,PC
Wave Race 64,driving racing snow  water,Nintendo 64
Galactic Civilizations II: Twilight of the Arnor,strategy turnbased scifi scifi 4x,PC
Super Smash Bros. for Wii U,action fighting fighting 3d 2d 2d 3d,WiiU
Guitar Hero II,miscellaneous rhythm music,PlayStation 2
Into the Breach,strategy turnbased tactics,Switch
Final Fantasy VII,roleplaying consolestyle rpg,PlayStation
Rock Band,action miscellaneous rhythm music music,PlayStation 3
Chrono Trigger,roleplaying consolestyle rpg consolestyle rpg japanesestyle,DS
Bayonetta 2,action adventure linear,Switch
Journey,action adventure general platformer platformer 3d 3d,PlayStation 3
Xenoblade Chronicles,roleplaying action rpg consolestyle rpg action rpg,Wii
Conker's Bad Fur Day,action platformer 3d,Nintendo 64
Medal of Honor,action shooter firstperson historic,PlayStation
PaRappa the Rapper,miscellaneous rhythm music,PlayStation
Rock Band 2,action miscellaneous rhythm music music,Xbox 360
Mario Kart 8 Deluxe,other racing arcade automobile,Switch
INSIDE,action platformer 2d,Switch
The ICO & Shadow of the Colossus Collection,miscellaneous action adventure fantasy compilation compilation,PlayStation 3
Rayman Origins,action action adventure platformer fantasy platformer 2d 2d,Wii
Metroid Prime 2: Echoes,action shooter firstperson scifi,GameCube
Out of the Park Baseball 17,sports baseball sim team,PC
Metroid Fusion,action adventure scifi,GameBoyAdvance
The Witcher 3: Wild Hunt - Blood and Wine,roleplaying action rpg,PC
Final Fantasy VI Advance,roleplaying consolestyle rpg,GameBoyAdvance
Rayman Legends,action platformer platformer 2d 2d,WiiU
Tiger Woods PGA Tour 2003,sports traditional individual golf sim sim,PC
Madden NFL 2005,sports traditional football sim,Xbox
Super Street Fighter IV,action fighting fighting 3d 2d 3d,Xbox 360
Pac-Man Championship Edition DX,adventure general action general general arcade,PlayStation 3
Rock Band 2,action miscellaneous rhythm music music,PlayStation 3
Dark Souls II,action rpg roleplaying action rpg,Xbox 360
Dishonored,action adventure modern general modern,PC
ESPN NFL Football,sports traditional football sim,PlayStation 2
