title,genre,platform
Runbow,action general platformer 2d,WiiU
Madden NFL 17,sports team football sim,PlayStation 4
Sokobond,miscellaneous puzzle action puzzle action,PC
Quell Memento,miscellaneous puzzle puzzle logic logic,PlayStationVita
MotoHeroz,driving racing arcade arcade automobile,Wii
Mario vs. Donkey Kong: Minis March Again!,action platformer platformer 2d 2d,DS
Zone of the Enders: The 2nd Runner,simulation scifi mech,PlayStation 2
F1 2016,racing simulation automobile,PlayStation 4
Viva Pinata: Trouble in Paradise,simulation miscellaneous virtual life virtual virtual life,Xbox 360
Sam & Max Episode 105: Reality 2.0,adventure general 3d pointandclick thirdperson,PC
2010 FIFA World Cup South Africa,sports traditional team soccer sim sim,PlayStation 3
Lovers in a Dangerous Spacetime,platformer 2d action shooter shootemup horizontal,XboxOne
Bejeweled 3,miscellaneous puzzle puzzle puzzle matching matching,PC
Dangerous Waters,simulation submarine marine combat,PC
Shift 2: Unleashed,driving racing simulation gt  street gt  street automobile,Xbox 360
LEGO The Lord of the Rings,action adventure adventure general general linear,PlayStation 3
Iron Brigade,action strategy general realtime general defense,Xbox 360
Tomb Raider: Legend,action adventure modern modern linear,PC
Peter Jackson's King Kong: The Official Game of the Movie,action adventure modern,PlayStation 2
Asheron's Call 2: Fallen Kings,roleplaying massively multiplayer online massively multiplayer fantasy fantasy,PC
Super Monkey Ball Jr.,miscellaneous puzzle general,GameBoyAdvance
WWE SmackDown! Shut Your Mouth,action fighting wrestling,PlayStation 2
Unreal Tournament III,action shooter shooter firstperson scifi scifi arcade,Xbox 360
N++,platformer 2d action platformer 2d,PlayStation 4
Gemini Rue,adventure general thirdperson general pointandclick scifi,PC
Sonic CD,action platformer platformer 2d 2d,Xbox 360
Pro Evolution Soccer 2015,action general sports traditional team soccer sim,PlayStation 4
Dyad,driving racing arcade futuristic futuristic,PlayStation 3
Antichamber,miscellaneous puzzle general puzzle general,PC
Sonic & All-Stars Racing Transformed,driving racing arcade kart other kart,PlayStation 3
NBA 2K9,sports traditional team basketball sim sim,PlayStation 3
Neverwinter Nights 2,roleplaying pcstyle rpg pcstyle rpg westernstyle,PC
Mega Man Powered Up,action platformer platformer 2d 2d,PSP
Darkstalkers Resurrection,action miscellaneous fighting compilation 2d,Xbox 360
Dark Souls III: The Ringed City,roleplaying action rpg,PlayStation 4
Dragon Age: Origins - Awakening,roleplaying pcstyle rpg pcstyle rpg westernstyle,PC
Peter Jackson's King Kong: The Official Game of the Movie,action adventure modern,Xbox
Danganronpa: Trigger Happy Havoc,adventure visual novel,PC
Hearthstone: Blackrock Mountain,strategy turnbased card battle,PC
Madden NFL 07,sports traditional football sim,GameCube
Rome: Total War Barbarian Invasion,strategy realtime historic general,PC
The Pinball Arcade,action miscellaneous parlor pinball pinball,Xbox 360
Gradius V,action shooter scrolling,PlayStation 2
Marvel: Ultimate Alliance,roleplaying action rpg action rpg,Xbox 360
Top Spin 4,sports traditional individual tennis tennis,PlayStation 3
NCAA Football 12,sports traditional team football sim sim,Xbox 360
Guitar Hero III: Legends of Rock,miscellaneous rhythm music,PlayStation 2
The Darkness,action shooter shooter firstperson modern modern arcade,Xbox 360
I Expect You To Die,adventure 3d firstperson,PlayStation 4
Etrian Odyssey 2 Untold: The Fafnir Knight,roleplaying japanesestyle westernstyle,3DS
Disgaea DS,strategy turnbased fantasy fantasy tactics,DS
Lunar Knights,roleplaying action rpg action rpg,DS
Hacknet,general miscellaneous general,PC
The Walking Dead: Season Two Episode 3 - In Harm's Way,general action adventure general pointandclick,Xbox 360
Test Drive Unlimited,driving racing simulation gt  street gt  street automobile,Xbox 360
Tales of Monkey Island Chapter 3: Lair of the Leviathan,adventure general 3d fantasy thirdperson fantasy,PC
The Walking Dead: A Telltale Games Series - The Complete First Season,miscellaneous adventure compilation compilation pointandclick,PlayStationVita
Blur,driving racing arcade arcade automobile,Xbox 360
FIFA 15,sports traditional team soccer sim,XboxOne
Neverwinter Nights 2: Mask of The Betrayer,roleplaying pcstyle rpg pcstyle rpg westernstyle,PC
Need for Speed Most Wanted,driving racing gt  street,PlayStation 2
Sins of a Solar Empire: Rebellion,strategy general general,PC
Broken Sword: The Sleeping Dragon,adventure 3d modern thirdperson modern,PC
Age of Wonders: Shadow Magic,strategy turnbased fantasy general fantasy,PC
ATV Offroad Fury 2,driving racing rally  offroad,PlayStation 2
Mega Man Zero,action platformer 2d,GameBoyAdvance
SOCOM: U.S. Navy SEALs,action shooter thirdperson tactical modern,PlayStation 2
Tom Clancy's Ghost Recon: Desert Siege,action shooter shooter firstperson tactical modern modern,PC
Warlords Battlecry II,strategy realtime fantasy general fantasy,PC
Ring of Red,strategy realtime scifi,PlayStation 2
Football Manager Live,sports traditional team soccer management management,PC
Prey: Mooncrash,action shooter firstperson arcade,XboxOne
The Walking Dead: Season Two Episode 2 - A House Divided,general action adventure general pointandclick,PlayStation 3
Marvel: Ultimate Alliance,roleplaying action rpg action rpg,PC
Darksiders,action adventure modern modern openworld,PlayStation 3
The Talos Principle: Road To Gehenna,adventure 3d firstperson,PC
Lara Croft and the Guardian of Light,action adventure adventure general general,PC
Stellaris - Utopia,strategy realtime general,PC
Tales From The Borderlands: Episode 1 - Zer0 Sum,miscellaneous general adventure general,XboxOne
Aquaria,action adventure fantasy general fantasy,PC
Need for Speed: Underground,driving racing simulation gt  street gt  street automobile,PC
Super Puzzle Fighter II Turbo HD Remix,miscellaneous puzzle puzzle puzzle matching matching,PlayStation 3
TrackMania Sunrise,driving racing arcade arcade automobile,PC
King's Quest Chapter 1: A Knight to Remember,adventure general,PC
Ape Escape 2,action platformer 3d,PlayStation 2
Viva Pinata: Pocket Paradise,simulation miscellaneous virtual life virtual virtual life,DS
Skullgirls,action fighting fighting 2d 2d,PlayStation 3
PixelJunk Shooter 2,action general shooter shooter static static shootemup topdown,PlayStation 3
Tekken Tag Tournament 2,action fighting fighting 3d 3d,PlayStation 3
Shantae and the Pirate's Curse,platformer 2d action platformer 2d,3DS
The Elder Scrolls V: Skyrim - Dragonborn,roleplaying firstperson firstperson westernstyle,Xbox 360
Galak-Z: The Dimensional,general shooter scrolling scrolling action shooter shootemup vertical,PlayStation 4
Sportsfriends,sports miscellaneous general party party  minigame,PlayStation 4
Dragon Age II,roleplaying pcstyle rpg action rpg,PC
Dragon Age II,roleplaying pcstyle rpg action rpg,PlayStation 3
Hand of Fate 2,miscellaneous board  card game,XboxOne
Pyre,roleplaying general,PC
10 Second Ninja X,action platformer 2d,XboxOne
Endless Legend,strategy turnbased general 4x,PC
Virtua Fighter 5: Final Showdown,action fighting fighting 3d 3d,PlayStation 3
Skylanders: Spyro's Adventure,action platformer platformer 3d 3d,3DS
Trauma Team,action simulation miscellaneous general puzzle general virtual general career,Wii
Henry Hatsworth in the Puzzling Adventure,action platformer platformer 2d 2d,DS
Call of Duty 3,action shooter firstperson historic,PlayStation 2
Doom,action shooter shooter firstperson scifi scifi arcade,Xbox 360
SOCOM 3: U.S. Navy SEALs,action shooter thirdperson tactical modern,PlayStation 2
X-Men Legends II: Rise of Apocalypse,roleplaying action rpg,GameCube
Dance Dance Revolution Ultramix,miscellaneous rhythm dancing,Xbox
Gladius,strategy turnbased fantasy,GameCube
NCAA College Basketball 2K3,sports traditional basketball sim,GameCube
Tom Clancy's Ghost Recon: Island Thunder,action shooter shooter firstperson tactical modern modern,PC
FIFA Soccer 2002,sports traditional soccer sim,PlayStation 2
Extreme-G,driving racing futuristic,Nintendo 64
S.T.A.L.K.E.R.: Shadow of Chernobyl,action shooter shooter firstperson scifi scifi arcade,PC
Mega Man 9,action platformer platformer 2d 2d,Xbox 360
Far Cry 5,action shooter firstperson arcade,XboxOne
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,strategy turnbased tactics,Switch
Okamiden,action adventure fantasy general fantasy,DS
Space Invaders Extreme 2,action shooter shooter scrolling scrolling shootemup vertical,DS
The Evil Within 2,action adventure survival,XboxOne
Condemned 2: Bloodshot,action adventure horror horror survival,PlayStation 3
Hitman: Blood Money,action adventure modern general modern,Xbox 360
Brutal Legend,action action adventure general fantasy general fantasy openworld,Xbox 360
Kero Blaster,general action platformer shooter 2d scrolling shootemup vertical,PC
Skullgirls: 2nd Encore,action fighting 2d,PlayStation 4
Fallout: New Vegas,roleplaying action rpg firstperson firstperson westernstyle,PlayStation 3
"Invisible, Inc. Console Edition",general strategy turnbased tactics,PlayStation 4
Castle Crashers,action beatemup beatemup 2d,Xbox 360
Monday Night Combat,action shooter shooter thirdperson modern modern arcade,PC
The Elder Scrolls V: Skyrim Special Edition,roleplaying westernstyle,XboxOne
VIDEOBALL,sports general,PC
Gunman Clive,action general platformer 2d,3DS
The Wolf Among Us: Episode 3 - A Crooked Mile,fantasy action adventure adventure general fantasy pointandclick,PC
The Chronicles of Riddick: Assault on Dark Athena,action shooter shooter firstperson scifi scifi arcade,Xbox 360
Resident Evil 4,action adventure survival,PlayStation 4
Slime-san,action adventure linear,Switch
Tomb Raider: Legend,action adventure modern,PlayStation 2
Pro Evolution Soccer 2013,sports traditional team soccer sim sim,PlayStation 3
Tiger Woods PGA Tour 06,sports traditional golf sim,GameCube
X-Men Legends,roleplaying action rpg,Xbox
XCOM: Enemy Unknown Plus,strategy turnbased general,PlayStationVita
FIFA Soccer 2004,sports traditional soccer sim,Xbox
Freedom Fighters,action shooter thirdperson tactical modern,Xbox
The Lord of the Rings: The Two Towers,action beatemup,GameCube
NBA Live 2003,sports traditional basketball sim,GameCube
Sega GT 2002,driving racing gt  street,Xbox
Airborne Assault: Red Devils Over Arnhem,strategy wargame turnbased,PC
Tekken Advance,action fighting 3d,GameBoyAdvance
Crazy Taxi 2,driving racing arcade,Dreamcast
Fallout Tactics: Brotherhood of Steel,roleplaying action rpg action rpg,PC
Ogre Battle 64,strategy turnbased fantasy,Nintendo 64
Sonic Rush,action platformer platformer 2d 2d,DS
Need for Speed: Underground 2,driving racing simulation gt  street gt  street automobile,PC
Thief: Deadly Shadows,action adventure fantasy,Xbox
Pinball Hall of Fame: The Williams Collection,action miscellaneous parlor pinball pinball,Wii
The Lion's Song,adventure pointandclick,Switch
Art of Balance Touch!,miscellaneous puzzle general puzzle general,3DS
NHL Eastside Hockey Manager 2005,sports traditional team ice hockey management sim,PC
Legend of Grimrock,roleplaying general general,PC
Super Hydorah,action shooter shootemup horizontal,PC
College Hoops 2K6,sports traditional basketball sim,Xbox
Marvel vs. Capcom 2,action fighting fighting 2d 2d,Xbox 360
Dominions 3: The Awakening,strategy turnbased fantasy general fantasy,PC
NyxQuest: Kindred Spirits,action platformer platformer 2d 2d,Wii
Dishonored: Death of the Outsider,action adventure general,PlayStation 4
Prince of Persia Classic,action adventure platformer general 2d,Xbox 360
Star Fox Adventures,action adventure scifi,GameCube
SteamWorld Dig,action action adventure platformer general platformer 2d 2d,3DS
Bulletstorm,general action shooter shooter firstperson scifi scifi arcade,PC
Fallout 3: Broken Steel,roleplaying firstperson firstperson general westernstyle,Xbox 360
Call of Duty 3,action shooter shooter firstperson historic historic arcade,Xbox 360
GRID 2,driving racing simulation gt  street gt  street automobile,PlayStation 3
Pro Evolution Soccer 2018,sports team soccer sim,XboxOne
Lovers in a Dangerous Spacetime,action shooter shootemup horizontal,PlayStation 4
Tekken 6,action fighting fighting 3d 3d,PSP
Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,miscellaneous adventure general compilation,Wii
Mario Kart Wii,driving racing arcade kart kart automobile,Wii
College Hoops 2K8,sports traditional team basketball sim sim,PlayStation 3
Borderlands 2: Mr. Torgue's Campaign of Carnage,action shooter shooter firstperson scifi scifi arcade,PC
Split/Second,driving racing general general arcade automobile,Xbox 360
Desktop Dungeons,general roleplaying general roguelike,PC
Fallout: New Vegas - Old World Blues,roleplaying firstperson firstperson westernstyle,PC
Dragon's Crown,roleplaying action rpg action beatemup beatemup 2d,PlayStation 3
Sega Genesis Collection,miscellaneous compilation,PlayStation 2
Crusader Kings II,strategy realtime historic general historic,PC
Art Academy: Home Studio,miscellaneous edutainment,WiiU
Art of Balance,puzzle general,WiiU
NBA 2K15,sports traditional team basketball sim,XboxOne
MVP Baseball 2004,sports traditional team baseball sim sim,PC
Europa 1400: The Guild,strategy realtime historic general historic,PC
V-Rally 3,driving racing rally  offroad,PlayStation 2
V-Rally 3,driving racing rally  offroad,GameBoyAdvance
Battle Realms,strategy realtime fantasy general fantasy,PC
Warlords Battlecry,strategy general general,PC
Shin Megami Tensei: Digital Devil Saga 2,roleplaying consolestyle rpg,PlayStation 2
Salt and Sanctuary,action platformer 2d,Switch
Sam & Max Episode 201: Ice Station Santa,adventure general 3d pointandclick thirdperson,PC
Oddworld: Stranger's Wrath HD,action adventure fantasy general fantasy,PlayStation 3
Halo: Combat Evolved Anniversary,action shooter shooter firstperson scifi scifi arcade,Xbox 360
N+,action platformer platformer 2d 2d,DS
Child of Light,action general general roleplaying general,PlayStation 4
Metal Gear Rising: Revengeance,action adventure modern general modern,Xbox 360
Major League Baseball 2K5,sports traditional baseball sim,PlayStation 2
Brothers in Arms: Road to Hill 30,action shooter firstperson historic,PlayStation 2
SOCOM: U.S. Navy SEALs Fireteam Bravo,action shooter shooter thirdperson tactical modern modern,PSP
TimeSplitters: Future Perfect,action shooter firstperson scifi,GameCube
Semblance,action platformer 2d,PC
Art Style: ORBIENT,miscellaneous puzzle puzzle general puzzle general,Wii
Kingdom Hearts: Birth by Sleep,roleplaying action rpg action rpg,PSP
The Last Guardian,fantasy fantasy action adventure linear,PlayStation 4
Pro Evolution Soccer 2013,sports traditional team soccer sim sim,Xbox 360
Sprint Vector,racing arcade other,PlayStation 4
Sonic & All-Stars Racing Transformed,driving racing arcade kart other kart,Xbox 360
Technobabylon,adventure general pointandclick,PC
Madden NFL 09 All-Play,sports traditional team football sim sim,Wii
Shin Megami Tensei: Nocturne,roleplaying consolestyle rpg,PlayStation 2
World of Warcraft: Mists of Pandaria,fantasy roleplaying massively multiplayer online massively multiplayer fantasy,PC
Pinball Hall of Fame: The Williams Collection,action miscellaneous parlor pinball pinball,PlayStation 3
FIFA 15,sports traditional team soccer sim,PC
Recettear: An Item Shop's Tale,simulation miscellaneous virtual life virtual virtual life,PC
Command & Conquer 3: Tiberium Wars,strategy realtime scifi scifi general,Xbox 360
Sid Meier's Pirates!,strategy realtime general historic,PSP
Harvest Moon: More Friends of Mineral Town,strategy breedingconstructing,GameBoyAdvance
Need for Speed Underground 2,driving racing gt  street,PlayStation 2
Forza Motorsport 7,racing simulation automobile,PC
ETHER One,general adventure general 3d firstperson,PC
BlazBlue: Calamity Trigger Portable,action fighting fighting 2d 2d,PSP
Tony Hawk's Underground 2,sports alternative skateboarding,GameCube
Final Fantasy XIII,roleplaying consolestyle rpg consolestyle rpg japanesestyle,Xbox 360
Midnight Club: Los Angeles,driving racing simulation gt  street gt  street automobile,PlayStation 3
The Vanishing of Ethan Carter,miscellaneous adventure general 3d firstperson,PC
Flight Simulator X: Acceleration,simulation flight modern jet combat,PC
Far Cry 3: Blood Dragon,action shooter shooter firstperson modern modern arcade,PlayStation 3
Splatoon 2: Octo Expansion,action shooter thirdperson arcade,Switch
Borderlands: The Zombie Island of Dr. Ned,action shooter shooter firstperson scifi scifi arcade,PlayStation 3
Etrian Odyssey II: Heroes of Lagaard,roleplaying firstperson firstperson westernstyle,DS
Pro Evolution Soccer 2008,sports traditional soccer sim,PlayStation 2
Blood,action shooter shooter firstperson modern modern arcade,PC
Duelyst,fantasy strategy turnbased general,PC
Warhammer: Vermintide 2,action shooter firstperson arcade,PC
Command & Conquer: Red Alert 3,strategy realtime scifi scifi general,PC
Thimbleweed Park,adventure pointandclick,Switch
The Walking Dead: Episode 1 - A New Day,action miscellaneous adventure general compilation pointandclick,PC
FIFA Soccer 09,sports traditional soccer sim,PlayStation 2
NCAA March Madness 2004,sports traditional basketball sim,PlayStation 2
NBA Live 2003,sports traditional basketball sim,Xbox
Links 2003,sports traditional golf sim,PC
Earth & Beyond,roleplaying massively multiplayer online massively multiplayer scifi scifi,PC
Syberia,adventure 3d fantasy thirdperson fantasy,PC
NASCAR Thunder 2002,driving racing stock car,Xbox
Virtual Pool 3,sports miscellaneous parlor individual billiards billiards,PC
The Sims: Livin' Large,simulation miscellaneous virtual life virtual virtual life,PC
The Wolf Among Us: Episode 1 - Faith,action adventure adventure fantasy general fantasy pointandclick,Xbox 360
Sonic the Hedgehog 2,action platformer platformer 2d 2d,Xbox 360
Metal Arms: Glitch in the System,action shooter thirdperson scifi,Xbox
MLB The Show 18,sports team baseball sim,PlayStation 4
DCS: Black Shark,simulation flight helicopter helicopter civilian,PC
FIFA Soccer 08,sports traditional team soccer sim sim,Xbox 360
Pro Evolution Soccer 2010,sports traditional team football soccer sim sim sim,Wii
ModNation Racers,driving racing arcade kart other kart,PlayStation 3
Soul Sacrifice Delta,roleplaying action rpg,PlayStationVita
King's Bounty: Armored Princess,roleplaying strategy turnbased general general,PC
Captain Toad: Treasure Tracker,action platformer 3d,Switch
Toki Tori,puzzle action,Switch
Azure Striker Gunvolt: Striker Pack,miscellaneous compilation,Switch
Rock Band Rivals,action rhythm music,XboxOne
Resident Evil HD Remaster,horror action adventure survival,XboxOne
Far Cry 4,action shooter firstperson modern arcade,XboxOne
Age of Wonders III - Golden Realms,fantasy strategy turnbased general,PC
Enslaved: Odyssey to the West,action adventure modern general modern,Xbox 360
Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,miscellaneous adventure general compilation,PC
Ys VIII: Lacrimosa of DANA,roleplaying action rpg,Switch
Prince of Persia,action adventure fantasy general fantasy,PC
Halo Wars,strategy realtime scifi scifi general,Xbox 360
PixelJunk Monsters Encore,strategy realtime fantasy fantasy defense,PlayStation 3
Joint Operations: Typhoon Rising,action shooter shooter firstperson tactical modern modern,PC
MotorStorm: Pacific Rift,driving racing simulation rally  offroad rally  offroad automobile,PlayStation 3
Xpand Rally,driving racing simulation rally  offroad rally  offroad automobile,PC
Prey,general action shooter firstperson arcade,PC
Dark Souls II: Crown of the Sunken King,roleplaying action rpg,PC
The Walking Dead: Episode 4 - Around Every Corner,miscellaneous adventure general compilation pointandclick,Xbox 360
SSX,sports alternative individual snowboarding snowboarding ski  snowboard,Xbox 360
Enter the Gungeon,action general,PlayStation 4
Shantae: Half-Genie Hero,action platformer 2d,Switch
Resident Evil HD Remaster,action adventure horror survival,PC
Disgaea 4: A Promise Revisited,fantasy strategy turnbased fantasy tactics,PlayStationVita
Year Walk,adventure 3d firstperson,WiiU
You Don't Know Jack,miscellaneous trivia  game show trivia  game show,PlayStation 3
The Lord of the Rings: The Two Towers,action beatemup,PlayStation 2
Celtic Kings: Rage of War,strategy realtime historic general historic,PC
ATV Offroad Fury,driving racing rally  offroad,PlayStation 2
B-17 Flying Fortress: The Mighty 8th,simulation flight wwii wwii combat,PC
EverQuest: The Scars of Velious,roleplaying massively multiplayer online massively multiplayer fantasy fantasy,PC
Suikoden II,roleplaying consolestyle rpg,PlayStation
Final Fight One,action beatemup,GameBoyAdvance
Tom Clancy's Splinter Cell: Blacklist,action adventure modern general modern,Xbox 360
SteamWorld Dig,action action adventure general platformer 2d,PlayStation 4
Tekken 7,action fighting 3d,PlayStation 4
Metro: Last Light,action shooter shooter firstperson scifi scifi arcade,PC
Rising Storm,action shooter shooter firstperson historic arcade,PC
NCAA Football 12,sports traditional team football sim sim,PlayStation 3
Lethal League,action fighting 2d,PC
Puzzle Quest: Challenge of the Warlords,miscellaneous puzzle puzzle puzzle matching matching,DS
Ninja Five-O,action platformer 2d,GameBoyAdvance
Madden NFL 18,sports team football sim,XboxOne
Botanicula,adventure general thirdperson general pointandclick fantasy,PC
OutRun 2006: Coast 2 Coast,driving racing arcade arcade automobile,PSP
"Nine Hours, Nine Persons, Nine Doors",action adventure adventure general horror 3d visual novel firstperson modern modern,DS
Darkest Dungeon: The Crimson Court,roleplaying general,PC
She Remembered Caterpillars,puzzle action,PC
College Hoops 2K7,sports traditional team basketball sim sim,Xbox 360
Joe Danger 2: The Movie,action racing general general arcade other,Xbox 360
Catherine,action adventure horror horror survival,Xbox 360
Pro Evolution Soccer 2015,sports traditional team soccer sim,PC
FIFA 15,sports traditional team soccer sim,PlayStation 4
PixelJunk Shooter Ultimate,action shooter scrolling shootemup vertical,PlayStation 4
Bookworm Adventures Deluxe,miscellaneous puzzle puzzle general puzzle logic general,PC
de Blob,action platformer platformer 3d 3d,Wii
The Lord of the Rings: The Battle for Middle-Earth,strategy realtime fantasy general fantasy,PC
ZEN Pinball 2,action miscellaneous parlor pinball,PlayStation 4
Hitman: Blood Money,action adventure modern general modern,PC
Bleach: Dark Souls,action fighting fighting 2d 2d,DS
Burnout Paradise Remastered,racing arcade automobile,PlayStation 4
RIVE: Ultimate Edition,action platformer 2d,Switch
Bulletstorm: Full Clip Edition,action shooter firstperson arcade,XboxOne
Need for Speed: Most Wanted,driving racing simulation gt  street gt  street automobile,PC
Saints Row 2,action adventure modern modern openworld,PlayStation 3
Severed,fantasy action adventure general,PlayStationVita
Star Wars: Battlefront,action shooter thirdperson scifi,PlayStation 2
OlliOlli2: Welcome to Olliwood,sports individual skate  skateboard,PC
WildStar,scifi roleplaying massively multiplayer online massively multiplayer scifi,PC
Broken Age: Act 1,general adventure general 3d pointandclick thirdperson fantasy,PC
Divinity II: The Dragon Knight Saga,roleplaying miscellaneous action rpg compilation,PC
Starship Defense,strategy realtime scifi scifi defense,DS
Out of the Park Baseball 9,sports traditional baseball management,PC
Tekken 5: Dark Resurrection,action fighting fighting 3d 3d,PlayStation 3
The Simpsons: Hit & Run,driving action adventure missionbased missionbased openworld,PC
DDRMAX2 Dance Dance Revolution,miscellaneous rhythm dancing,PlayStation 2
NHL Hitz 20-03,sports traditional ice hockey arcade,PlayStation 2
America's Army,action shooter shooter firstperson tactical modern,PC
Star Trek Bridge Commander,simulation scifi space large spaceship civilian,PC
Seaman,strategy breedingconstructing,Dreamcast
The Last Express,adventure general general,PC
Blur,driving racing arcade arcade automobile,PlayStation 3
Resistance: Retribution,action shooter shooter thirdperson scifi scifi arcade,PSP
Hustle Kings,sports miscellaneous parlor individual billiards billiards,PlayStation 3
Hot Shots Golf: Out of Bounds,sports traditional individual golf arcade arcade,PlayStation 3
Siesta Fiesta,puzzle action general,3DS
Quake 4,action shooter shooter firstperson scifi scifi arcade,PC
Closure,action platformer platformer 2d 2d,PlayStation 3
Kingdom Hearts HD 2.5 ReMIX,roleplaying action rpg miscellaneous compilation,PlayStation 3
Tom Clancy's Splinter Cell Chaos Theory,action adventure modern,GameCube
Dragon Quest Builders,action adventure sandbox,Switch
Mega Man 10,action platformer platformer 2d 2d,Wii
Starbound,fantasy general fantasy action adventure sandbox,PC
KORG DS-10 PLUS,miscellaneous music maker music maker application,DS
Condemned: Criminal Origins,action adventure horror horror survival,Xbox 360
Tony Hawk's Project 8,sports alternative individual skateboarding skateboarding skate  skateboard,Xbox 360
Saints Row IV,action adventure modern modern openworld,Xbox 360
Injustice: Gods Among Us,action fighting fighting 2d 2d,Xbox 360
Nidhogg,general action miscellaneous general,PC
The Elder Scrolls V: Skyrim Special Edition,roleplaying westernstyle,PlayStation 4
Battlefield 4,action shooter shooter firstperson modern modern arcade,PC
NBA 2K8,sports traditional team basketball sim sim,Xbox 360
Torment: Tides of Numenera,general general roleplaying westernstyle,PC
Kalimba,action general,XboxOne
Tiger Woods PGA Tour 07,sports traditional golf sim,Xbox
Metrico+,puzzle action,PlayStation 4
NHL 14,sports traditional team ice hockey sim sim,Xbox 360
Tekken 7,action fighting 3d,XboxOne
NBA 2K8,sports traditional team basketball sim sim,PlayStation 3
To the Moon,roleplaying adventure general general general,PC
Madden NFL 15,sports traditional team football sim,PlayStation 4
Slime-san: Superslime Edition,action adventure linear,PlayStation 4
Quadrilateral Cowboy,simulation virtual career,PC
Kingdoms of Amalur: Reckoning - The Legend of Dead Kel,roleplaying action rpg action rpg,Xbox 360
The Sims 3: World Adventures,simulation miscellaneous virtual life virtual virtual life,PC
Painkiller,action shooter shooter firstperson fantasy fantasy arcade,PC
Disgaea 5 Complete,strategy turnbased tactics,Switch
WarioWare: Touched!,miscellaneous puzzle puzzle general puzzle party  minigame general,DS
Plants vs Zombies: Garden Warfare 2,general action shooter thirdperson tactical,PlayStation 4
NHL 2K6,sports traditional ice hockey sim,PlayStation 2
Torchlight,roleplaying action rpg action rpg,Xbox 360
Warhammer: Vermintide 2,action shooter firstperson arcade,XboxOne
Danganronpa V3: Killing Harmony,action general adventure visual novel,PlayStation 4
Bomberman Ultra,miscellaneous puzzle puzzle general puzzle general,PlayStation 3
Growlanser Generations,roleplaying general,PlayStation 2
Airborne Assault: Highway to the Reich,strategy realtime wargame realtime general,PC
NCAA March Madness 2004,sports traditional basketball sim,Xbox
Nancy Drew: Danger on Deception Island,adventure 3d firstperson modern modern,PC
Doom,action shooter firstperson scifi,GameBoyAdvance
NASCAR Heat 2002,driving racing stock car,PlayStation 2
Shadowrun: Hong Kong,roleplaying westernstyle,PC
Fieldrunners,strategy realtime general general defense,PSP
Kirby: Planet Robobot,action platformer 2d,3DS
War Thunder,action simulation flight flight vehicle combat,PC
Race Driver 2006,driving racing simulation general general automobile,PSP
Renegade Ops,action general general shooter shootemup topdown,Xbox 360
Where is My Heart?,action platformer platformer 2d 2d,PSP
Saints Row,action adventure modern modern openworld,Xbox 360
Hitman - Episode 6: Hokkaido,action adventure general,PlayStation 4
Art Academy: Lessons for Everyone,miscellaneous edutainment edutainment,3DS
Lumines II,miscellaneous puzzle puzzle general puzzle matching general,PSP
Splatoon,fantasy action shooter thirdperson arcade,WiiU
Supreme Commander: Forged Alliance,strategy realtime scifi scifi general command,PC
Drill Dozer,action platformer 2d,GameBoyAdvance
Super One More Jump,action platformer 2d,Switch
Oxenfree,action adventure adventure general,Switch
Sunless Sea,scifi action adventure general,PC
The Walking Dead: Season Two Episode 3 - In Harm's Way,general action adventure general pointandclick,PC
Duke Nukem Advance,action shooter firstperson scifi,GameBoyAdvance
Marvel Heroes 2015,roleplaying massively multiplayer online massively multiplayer scifi,PC
Football Manager 2016,sports team soccer management,PC
Tearaway Unfolded,action adventure adventure general fantasy,PlayStation 4
Trackmania Turbo,racing arcade automobile,PlayStation 4
Ratchet: Deadlocked,action shooter thirdperson scifi,PlayStation 2
Phantom Brave,strategy turnbased fantasy,PlayStation 2
LEGO Star Wars II: The Original Trilogy,action adventure scifi scifi general,Xbox 360
VVVVVV,action platformer platformer 2d 2d,PC
Monster Hunter Freedom Unite,roleplaying action rpg action rpg,PSP
Hellblade: Senua's Sacrifice,fantasy action adventure general,PlayStation 4
The Sims 4: Seasons,simulation virtual virtual life,PC
Teslagrad,action platformer 2d,Switch
Call of Duty: Black Ops III,action shooter firstperson arcade,XboxOne
Darksiders II,action adventure modern fantasy fantasy openworld,PC
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,roleplaying general general,PSP
NBA 2K7,sports traditional basketball sim,PlayStation 2
Saints Row 2,action adventure modern modern openworld,Xbox 360
Tom Clancy's Rainbow Six Vegas 2,action shooter shooter firstperson tactical modern modern,PlayStation 3
Overcooked! 2,action arcade,PlayStation 4
Resident Evil 5: Lost in Nightmares,action adventure horror horror survival,PlayStation 3
Mario & Luigi: Superstar Saga + Bowser's Minions,roleplaying japanesestyle,3DS
Wolfenstein: The New Order,general action shooter firstperson historic arcade,PC
Fallout: New Vegas - Old World Blues,roleplaying firstperson firstperson westernstyle,PlayStation 3
Super Mega Baseball 2,sports baseball arcade team,XboxOne
Mega Man Anniversary Collection,miscellaneous compilation,PlayStation 2
The Sims Bustin' Out,miscellaneous virtual life,PlayStation 2
Mortal Kombat: Deadly Alliance,action fighting 3d,Xbox
Medal of Honor Frontline,action shooter firstperson historic,Xbox
